count=498
[0] distance=3.16503e-05 idx0=28 idx1=27
[1] distance=0.000113044 idx0=3 idx1=3
[2] distance=0.000113079 idx0=25 idx1=25
[3] distance=0.000157878 idx0=88 idx1=91
[4] distance=0.000264846 idx0=1 idx1=1
[5] distance=0.0005177 idx0=62 idx1=62
[6] distance=0.000591086 idx0=4 idx1=4
[7] distance=0.000673893 idx0=101 idx1=101
[8] distance=0.000874767 idx0=110 idx1=111
[9] distance=0.00125171 idx0=395 idx1=415
[10] distance=0.00127874 idx0=74 idx1=73
[11] distance=0.0013342 idx0=403 idx1=400
[12] distance=0.00159399 idx0=285 idx1=301
[13] distance=0.00177926 idx0=18 idx1=18
[14] distance=0.00194714 idx0=37 idx1=37
[15] distance=0.00256898 idx0=31 idx1=31
[16] distance=0.0026205 idx0=830 idx1=258
[17] distance=0.00264492 idx0=2 idx1=2
[18] distance=0.00265078 idx0=13 idx1=13
[19] distance=0.00280665 idx0=251 idx1=262
[20] distance=0.00286499 idx0=870 idx1=762
[21] distance=0.00301917 idx0=60 idx1=60
[22] distance=0.00332319 idx0=303 idx1=315
[23] distance=0.0035614 idx0=39 idx1=39
[24] distance=0.00358799 idx0=399 idx1=432
[25] distance=0.00389468 idx0=863 idx1=321
[26] distance=0.00394486 idx0=291 idx1=296
[27] distance=0.00413109 idx0=47 idx1=48
[28] distance=0.00465638 idx0=300 idx1=312
[29] distance=0.00467404 idx0=106 idx1=107
[30] distance=0.00506441 idx0=99 idx1=99
[31] distance=0.00519933 idx0=63 idx1=63
[32] distance=0.00530811 idx0=66 idx1=67
[33] distance=0.00550099 idx0=232 idx1=260
[34] distance=0.00564927 idx0=29 idx1=29
[35] distance=0.00623033 idx0=35 idx1=34
[36] distance=0.00644579 idx0=243 idx1=252
[37] distance=0.00649342 idx0=223 idx1=234
[38] distance=0.00699352 idx0=245 idx1=249
[39] distance=0.007202 idx0=452 idx1=487
[40] distance=0.00721964 idx0=183 idx1=182
[41] distance=0.0072275 idx0=78 idx1=78
[42] distance=0.00729826 idx0=153 idx1=155
[43] distance=0.00737551 idx0=455 idx1=515
[44] distance=0.00741845 idx0=84 idx1=84
[45] distance=0.00743561 idx0=64 idx1=64
[46] distance=0.00804208 idx0=38 idx1=38
[47] distance=0.00841467 idx0=151 idx1=152
[48] distance=0.00847861 idx0=19 idx1=19
[49] distance=0.00862187 idx0=210 idx1=216
[50] distance=0.00875804 idx0=229 idx1=243
[51] distance=0.00905752 idx0=393 idx1=420
[52] distance=0.00964455 idx0=5 idx1=5
[53] distance=0.00986209 idx0=145 idx1=151
[54] distance=0.0100037 idx0=382 idx1=412
[55] distance=0.0103882 idx0=73 idx1=74
[56] distance=0.0105296 idx0=634 idx1=588
[57] distance=0.010978 idx0=86 idx1=88
[58] distance=0.0110693 idx0=137 idx1=140
[59] distance=0.0111224 idx0=12 idx1=12
[60] distance=0.0111535 idx0=87 idx1=87
[61] distance=0.0113232 idx0=68 idx1=68
[62] distance=0.0114021 idx0=385 idx1=403
[63] distance=0.0114155 idx0=132 idx1=134
[64] distance=0.0115121 idx0=198 idx1=206
[65] distance=0.0124292 idx0=255 idx1=266
[66] distance=0.0124946 idx0=284 idx1=295
[67] distance=0.0127213 idx0=104 idx1=106
[68] distance=0.0128095 idx0=392 idx1=361
[69] distance=0.012951 idx0=97 idx1=98
[70] distance=0.0134786 idx0=641 idx1=594
[71] distance=0.0136934 idx0=80 idx1=80
[72] distance=0.0142146 idx0=837 idx1=210
[73] distance=0.0144 idx0=75 idx1=76
