255 5052.1947 1855.5326 12.5594	216 5050.3312 1856.8207 12.5634
611 7501.0514 4516.6505 9.8457	535 7499.8995 4517.3533 9.8413
268 1545.9569 1947.3407 14.6193	232 1544.0699 1949.4133 14.7184
456 7630.8076 3440.3369 99.0000	395 7629.3855 3441.0397 99.0000
370 3044.5756 2629.9425 12.1292	317 3042.8988 2631.6577 12.1215
245 9254.1957 1742.5005 14.6354	208 9252.3254 1742.8554 14.6116
761 9041.0948 6131.9306 11.4695	654 9040.3863 6132.2726 11.4710
310 8676.2013 2290.9726 11.0285	263 8674.4654 2291.4306 11.0389
891 9167.9782 5408.4975 99.0000	691 9167.0396 5408.8047 14.0189
285 5791.2087 2116.1881 11.1630	238 5789.4534 2117.3036 11.1734
686 2389.5389 4920.8710 14.0168	595 2388.3770 4922.7092 14.0342
167 4387.2981 1135.4162 12.7127	131 4385.2724 1136.8628 12.7197
224 7044.2728 1610.0699 12.0653	195 7042.3423 1610.9619 12.0616
503 4114.4113 3711.4233 9.7289	441 4112.9533 3712.8690 9.7257
553 5895.6474 4076.5434 11.7289	497 5894.3750 4077.6356 11.7381
128 2375.2197 876.4682 11.1203	99 2373.0895 878.4007 11.1153
870 3231.0960 5272.9686 99.0000	702 3230.0501 5274.6298 14.2708
648 650.8695 4722.3852 12.1361	569 649.6493 4724.6309 12.1257
407 7758.2606 2851.6974 12.8923	352 7756.6279 2852.3709 12.8797
873 7130.9262 5704.6909 14.1670	770 7130.0799 5705.4870 14.2091
283 3616.1601 2055.2979 13.9000	246 3614.3674 2056.9129 14.0204
412 3287.4412 3007.2697 8.9521	359 3285.7913 3008.8892 8.9568
500 3730.3701 3686.0208 10.6771	444 3728.9190 3687.5040 10.6758
536 8329.8889 3929.7774 13.9848	481 8328.6068 3930.3564 13.9639
391 7268.4504 2705.4110 13.3360	337 7266.8772 2706.2294 13.3351
336 394.7504 2407.4137 13.2765	290 392.9910 2409.7706 13.2247
300 8322.0055 2227.8281 9.5801	253 8320.2482 2228.3232 9.5881
106 7512.4523 693.9329 12.1117	86 7510.3805 694.7314 12.1096
589 6933.4019 4237.3535 14.1931	519 6932.1374 4238.1091 14.1866
610 9214.7741 4474.7851 11.2638	534 9213.6408 4475.1649 11.2685
437 5643.6771 3056.6872 14.7552	379 5642.1124 3057.8882 14.9208
430 7463.0659 3081.7955 12.2942	375 7461.4773 3082.4936 12.2895
892 2911.1937 5314.7162 13.8939	751 2910.1115 5316.3622 13.9401
363 2653.8063 2585.8554 12.6778	310 2652.1247 2587.7166 12.6885
581 5310.8673 4194.0607 12.6884	512 5309.5548 4195.3031 12.6900
164 608.4842 1118.4501 12.3840	125 606.3421 1120.6631 12.3634
240 4132.0485 1798.1031 11.1261	204 4130.0971 1799.5376 11.1320
101 5600.0118 644.8964 12.8567	83 5597.7692 646.0497 12.8459
306 2724.6955 2180.7162 14.0369	260 2722.9474 2182.5125 14.0660
808 21.7091 5253.1558 12.4146	760 20.6410 5255.5587 12.4080
869 5485.4771 5963.0718 12.1801	758 5484.7078 5964.1093 12.1789
129 7924.7061 846.4966 12.7880	100 7922.6522 847.2446 12.8071
226 6092.5668 1619.6897 13.3612	198 6090.6087 1620.8244 13.3702
838 5898.5371 5699.3685 13.7539	766 5897.6119 5700.4507 13.7682
732 4138.8424 6329.5254 8.8595	630 4138.0374 6330.8626 8.8626
160 2337.5155 1107.0535 12.5544	123 2335.3461 1108.9049 12.5414
812 981.1380 5545.8142 12.5510	710 980.0729 5547.8801 12.5452
388 8626.4561 2761.3468 10.1258	327 8624.9146 2761.7512 10.1148
260 7112.8499 1881.3434 13.6293	222 7111.0964 1882.1442 13.6088
504 6094.4446 3643.2736 13.9778	447 6092.9805 3644.3570 13.9916
377 9517.2349 2635.0182 14.2383	325 9515.5373 2635.3207 14.2425
188 6372.1220 1333.3586 10.9429	149 6370.0589 1334.3139 10.9355
585 7155.9794 4215.4955 12.1762	515 7154.6557 4216.3056 12.1782
508 2347.4106 3702.3869 11.4062	448 2345.8765 3704.2064 11.3922
708 2330.5774 5032.6331 13.8263	614 2329.5698 5034.4582 13.8357
707 7847.4620 5004.8157 15.2326	613 7846.5256 5005.3814 15.2665
680 3830.6043 4852.7764 14.5966	591 3829.5515 4854.2023 14.6890
344 1590.4668 2521.9041 10.4459	297 1588.6372 2523.8739 10.4473
284 7089.0560 2048.0094 14.5770	240 7087.1701 2048.8875 14.6649
402 3931.3797 2854.6754 11.5679	346 3929.8349 2856.1442 11.5612
99 3092.6913 596.6099 14.5999	85 3090.5407 598.4309 14.6798
618 2068.8304 4484.3094 14.6377	543 2067.5986 4486.3028 14.7036
525 7292.4992 3789.6649 14.7725	468 7291.0990 3790.3246 15.0042
569 7827.7582 4190.2173 11.2074	505 7826.5942 4190.7629 11.2009
604 5325.4655 4354.4648 14.5885	532 5324.2032 4355.7397 14.6246
393 5910.9901 2764.9804 10.4237	336 5909.3058 2766.1509 10.4219
737 6320.8717 6318.8816 13.3926	635 6320.0501 6319.7896 13.4697
627 9272.0084 4571.2032 13.1882	550 9270.8519 4571.3975 13.1918
598 7126.7068 4345.5448 11.4220	525 7125.3936 4346.2958 11.4241
588 9327.4828 4253.7539 12.5250	517 9326.1950 4254.1078 12.5220
330 5226.9952 2394.3945 11.9963	285 5225.3114 2395.7312 12.0048
295 7473.1245 2061.6602 15.2574	250 7471.2947 2062.5112 15.3016
23 9349.0518 231.5496 12.5680	26 9346.7774 232.0261 12.5383
603 871.7133 4383.1002 12.0632	531 870.4565 4385.3646 12.0602
641 2582.9828 4665.7673 14.2307	566 2581.8929 4667.5885 14.2428
349 3618.3206 2489.1452 14.0865	302 3616.6287 2490.8432 14.1165
186 947.1503 1287.2020 12.6713	150 945.1724 1289.4595 12.6774
551 2719.4039 3977.1386 14.5958	487 2718.0665 3978.7830 14.4560
198 1119.0085 1333.9293 13.7538	164 1117.0364 1336.0313 13.7370
204 6152.4590 1420.1998 14.4179	171 6150.3714 1421.2581 14.4074
662 5410.9982 4776.1366 13.5846	580 5409.9351 4777.1779 13.5733
666 4196.1111 4798.9031 12.9175	581 4194.9184 4800.4196 12.9121
669 5364.4498 4835.6419 12.3123	583 5363.4507 4836.7435 12.3200
480 7728.4333 3468.4968 15.2205	421 7727.1295 3469.1817 15.1113
540 1569.5235 3923.9054 14.6697	485 1568.2469 3925.9166 14.7959
102 662.0321 689.1378 10.8324	82 659.8899 691.4967 10.8363
262 1671.7900 1888.1029 13.1204	223 1669.7790 1890.2200 13.1249
541 8565.4227 4010.8868 10.6173	483 8564.1094 4011.4678 10.6175
579 3452.2212 4144.8209 99.0000	509 3450.9298 4146.2885 13.7990
679 9026.5202 4861.8836 13.6929	589 9025.5231 4862.1110 13.7550
147 7081.2249 1001.5559 13.8790	116 7079.2508 1002.5051 13.9037
258 3870.8185 1857.1656 13.3988	219 3868.8712 1858.6008 13.5140
485 8530.4705 3591.3954 11.1420	426 8529.1509 3591.9895 11.1518
718 5434.5285 5112.5001 12.7658	620 5433.6207 5113.6213 12.7754
696 3341.8305 4995.6395 12.1797	599 3340.6775 4997.3521 12.1717
494 5978.6126 3587.5583 13.9316	436 5977.3235 3588.5974 13.9518
231 5706.2277 1688.4492 12.4410	199 5704.4129 1689.5076 12.4367
591 2450.8521 4244.8120 14.2180	521 2449.5091 4246.7456 14.2875
70 7816.0721 457.2826 10.8828	61 7813.8632 457.8624 10.8880
91 8755.1915 551.1862 14.2471	78 8753.1644 551.6504 14.2500
398 1503.1988 2755.3434 13.2859	340 1501.3794 2757.4485 13.3287
612 5682.3510 4450.0168 14.0976	536 5681.1100 4450.9722 14.0902
584 161.0698 4193.7763 12.9582	514 159.7783 4196.2260 12.9431
694 2405.1922 4992.0644 11.9031	598 2403.9399 4993.9028 11.9065
594 5573.6408 4340.3691 10.6410	522 5572.3417 4341.6149 10.6405
721 7381.1854 5102.1330 13.8737	622 7380.2056 5102.9765 13.8552
411 4709.0668 2861.6317 14.3786	358 4707.3582 2863.0918 14.4525
462 7363.2299 3319.8463 12.7437	402 7361.9081 3320.6201 12.7387
700 4807.2945 5063.2882 10.1431	603 4806.3789 5064.5971 10.1427
698 2163.3749 5036.8146 10.9373	602 2162.1339 5038.7251 10.9316
364 5110.1377 2626.6524 11.2579	312 5108.6062 2627.9354 11.2717
719 5692.6661 5096.1296 13.5557	623 5691.7676 5097.2599 13.5819
532 4708.7731 3898.0742 14.5955	479 4707.3903 3899.5402 14.6199
560 9405.9522 4096.7295 13.8504	501 9404.6582 4096.8680 13.8663
458 4272.3022 3273.0968 12.8694	400 4270.8064 3274.6759 12.8545
203 4565.7631 1398.4659 13.5695	168 4563.6103 1399.8671 13.5690
132 8835.5780 848.4714 14.2762	106 8833.4209 848.8111 14.3165
784 5517.4219 5722.5183 12.2846	750 5516.7017 5723.6304 12.2911
495 1838.9932 3623.5985 12.5633	437 1837.5216 3625.7170 12.5506
731 1900.5791 6372.2779 14.6312	629 1899.8447 6374.0055 14.6296
441 4428.8110 3143.6403 11.9784	382 4427.0959 3145.0338 11.9850
490 6729.8380 3589.6534 12.9411	432 6728.2707 3590.5517 12.9693
590 2098.7983 4280.2732 11.9225	518 2097.3365 4282.1392 11.9231
392 189.5596 2687.9951 14.1116	338 187.9622 2690.4326 14.0998
95 7038.5069 579.1980 14.2393	80 7036.2228 579.9534 14.2965
765 7308.5375 6111.9256 12.9486	659 7307.9488 6112.5834 12.9380
621 2362.5643 4591.1161 11.5380	549 2361.2093 4593.0304 11.5461
451 573.6607 3205.9226 13.9165	394 571.9222 3208.2605 14.0112
213 1240.1434 1554.0361 10.2364	181 1238.3007 1556.2015 10.2340
425 4782.1382 3053.4662 12.2145	370 4780.6377 3054.6343 12.2043
471 8799.6584 3477.4140 10.4723	413 8798.3371 3477.9881 10.4584
623 3941.3310 4577.9772 11.6018	545 3940.0039 4579.5596 11.6064
174 6468.0169 1220.1409 11.7859	138 6465.8312 1221.1030 11.7802
421 1137.9328 2985.9730 12.7840	367 1136.4299 2988.0020 12.7711
558 4342.4483 4073.4262 13.5539	499 4340.9822 4074.7326 13.5726
345 976.6648 2432.9238 14.6463	298 975.0445 2435.0586 14.7213
681 7756.2185 4970.8899 10.2828	592 7755.3396 4971.5848 10.2862
759 6847.7716 6146.3504 11.1139	651 6846.8516 6147.1867 11.1159
842 458.1921 5844.5023 13.8735	685 457.1441 5846.8401 13.8718
454 751.4642 3224.0718 13.3094	393 749.8029 3226.1207 13.3054
779 7600.4990 5939.7367 14.1617	723 7599.7827 5940.5299 14.1832
415 4069.6200 2920.8114 13.8910	362 4068.0609 2922.1258 13.8841
776 4018.5670 5634.3198 13.6665	672 4017.6123 5635.5773 13.6397
489 6987.3604 3579.5121 12.9384	430 6985.7797 3580.2970 12.9492
196 179.5125 1397.4963 10.5845	160 177.6271 1399.8752 10.5779
710 6017.3209 5094.9463 12.2083	616 6016.1086 5095.9192 12.2177
740 2981.1412 6298.4163 10.2995	638 2980.1890 6300.0735 10.2817
342 5466.6416 2427.3962 13.7085	295 5465.0845 2428.6617 13.7406
639 9232.6241 4669.6175 13.2815	564 9231.3658 4669.9988 13.2576
80 5005.1666 441.8173 14.3327	66 5003.0166 442.9849 14.3840
366 4691.0023 2591.1445 13.5898	315 4689.4562 2592.6119 13.5696
672 9527.7629 4817.5488 13.6166	585 9526.9001 4817.7877 13.6179
479 1221.4597 3509.1263 12.4273	420 1220.0240 3511.3976 12.4309
571 9434.5820 4110.3022 14.6502	506 9433.4156 4110.3937 14.6024
327 5081.2918 2354.0469 12.4214	281 5079.7350 2355.2935 12.4093
419 460.7570 2946.0680 13.9495	365 459.2837 2948.3323 14.0170
11 5973.5190 114.5970 13.1486	9 5971.1758 115.9098 13.1650
298 3447.0578 2099.9498 99.0000	251 3445.3902 2101.4949 14.2107
505 7070.1405 3661.3116 13.6020	453 7068.9345 3662.0347 13.7320
635 9327.5854 4622.1126 14.1616	563 9326.2907 4622.4260 99.0000
468 3403.1015 3369.7269 13.0870	412 3401.5609 3371.1533 99.0000
372 840.7852 2658.6361 11.2200	319 839.2511 2660.8554 11.2250
830 4557.1494 5494.7978 13.0097	728 4556.3947 5496.1535 13.0213
328 6733.6389 2311.1082 14.8881	282 6732.0611 2311.8839 14.9499
782 605.6222 5515.1128 15.0849	741 604.7551 5517.4522 15.0230
615 1036.5143 4465.0537 14.4215	541 1035.4336 4467.0914 14.4959
130 6985.3646 818.0127 14.9842	105 6983.1456 819.0702 15.1932
7 2060.9186 38.6349 14.7104	5 2058.3960 40.7758 14.7762
467 9175.2822 3373.4370 11.9719	409 9173.8680 3373.9858 11.9863
878 3555.1227 5498.3526 15.0229	764 3554.1036 5499.6927 15.1236
545 4700.2269 3980.6954 14.7437	492 4699.0703 3982.1170 14.8603
758 1668.7257 6178.2128 12.5613	650 1667.7234 6180.2516 12.5453
583 3322.3370 4176.2268 13.4294	513 3321.2337 4177.8007 13.4437
653 8784.9538 4730.4900 12.2212	570 8783.9816 4731.0676 12.2140
484 8096.0418 3573.6883 11.8797	424 8094.4655 3574.3620 11.8767
637 5125.8348 4704.5229 11.0377	562 5124.8951 4705.6836 11.0456
401 3045.2127 2796.1333 13.2087	345 3043.4814 2797.6447 13.1772
872 6173.6131 5235.3598 11.6819	669 6172.4133 5236.2820 11.6845
259 7236.6883 1882.8953 12.1704	217 7234.6442 1883.7378 12.1688
663 1885.7660 4739.3799 14.1172	575 1884.3708 4741.2707 14.1250
347 4064.5097 2480.6754 14.0606	300 4062.9024 2481.9917 14.0886
643 2083.9102 4720.7633 11.7393	565 2082.5133 4722.5964 11.7360
191 8447.7818 1314.5535 12.4105	151 8445.9014 1314.9013 12.4022
797 6480.7556 5301.4600 14.5920	688 6479.7829 5302.5767 14.6771
820 767.1554 5297.6942 14.7673	709 766.1197 5300.0728 15.0314
87 7086.5879 504.2979 14.2051	72 7084.4259 504.9475 14.2668
665 5836.3698 4771.8829 13.6590	578 5835.4377 4772.8101 13.6477
519 9018.2056 3800.1042 10.8466	460 9016.9332 3800.6917 10.8511
243 605.2900 1780.3327 12.6104	205 603.5095 1782.7388 12.6282
542 3475.0387 4010.8414 10.8457	484 3473.7527 4012.6501 10.8546
464 7475.6005 3333.7725 12.5412	404 7473.9171 3334.4445 12.5383
301 6442.3483 2138.5356 13.9053	257 6440.3542 2139.5948 13.8929
881 5703.9432 5483.3610 14.3282	682 5703.0484 5484.1995 14.2777
270 1193.4239 1972.4611 14.0489	233 1191.6400 1974.7960 14.0899
133 6226.9984 846.3474 15.1236	107 6224.7070 847.5465 15.1539
773 4902.9764 6046.7729 13.8753	663 4901.9851 6048.1364 14.0081
893 4479.6424 5792.9997 14.0531	746 4478.5370 5794.3549 99.0000
788 3245.9389 5414.0419 14.3627	745 3244.7190 5415.6859 14.3727
82 3349.8737 451.7961 14.1480	65 3347.3927 453.4112 14.0907
208 1797.3468 1451.7967 13.8692	174 1795.1116 1453.9303 13.8675
605 3302.2015 4410.4858 12.3312	528 3301.0914 4412.3005 12.3353
127 352.3833 811.8030 13.8851	102 350.1908 813.9151 13.9931
